date,source_id,error
2026-06-10,federal_register_eo,HTTP 403 Forbidden.
2026-06-10,federal_register_12333,HTTP 403 Forbidden.
2026-06-10,congress_fisa_bills,CONGRESS_API_KEY not set; skipping Congress.gov
2026-06-10,odni_press,HTTP 404 Not Found.
2026-06-10,congress_ndaa,CONGRESS_API_KEY not set; skipping Congress.gov
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
2026-06-10,congress_fisa_bills,CONGRESS_API_KEY not set; skipping Congress.gov
2026-06-10,odni_press,HTTP 404 Not Found.
2026-06-10,pclob_reports,"Failed to perform HTTP request.
Caused by error in `curl::curl_fetch_memory()`:
! Timeout was reached [www.pclob.gov]:
Connection timed out after 30001 milliseconds"
2026-06-10,congress_ndaa,CONGRESS_API_KEY not set; skipping Congress.gov
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
2026-06-10,odni_press,HTTP 404 Not Found.
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
2026-06-10,federal_register_eo,HTTP 403 Forbidden.
2026-06-10,federal_register_12333,HTTP 403 Forbidden.
2026-06-10,odni_press,HTTP 404 Not Found.
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
2026-06-10,lawfare_rss,HTTP 403 Forbidden.
